ID,Date,UnitSP,UnitNet,UnitCPUnit,Profit,QtySold,ValSold,Net,Profit
1,01.01.2016,114.9,93.4,81.8,11.6,4840,5561,4521,562.48
2,02.01.2016,114.9,93.4,81.8,11.6,6951,7986,6493,807.79
3,03.01.2016,114.9,93.4,81.3,12.1,7073,8127,6607,854.57
4,04.01.2016,114.9,93.4,81.3,12.1,8915,10243,8328,1077.32
5,05.01.2016,114.9,93.4,81.3,12.1,9058,10408,8462,1094.47
6,06.01.2016,114.9,93.4,82.0,11.4,9028,10373,8433,1030.43
7,07.01.2016,114.9,93.4,82.0,11.4,9726,11175,9086,1109.95
8,08.01.2016,114.9,93.4,82.0,11.4,10358,11901,9676,1182.16
9,09.011.2016,114.9,93.4,82.0,11.4,8052,9252,7522,918.96
10,10.01.2016,114.9,93.4,82.0,11.4,7262,8344,6783,828.71
11,11.01.2016,114.9,93.4,82.0,11.4,9436,10842,8814,1076.86
12,12.01.2016,114.3,92.9,82.0,10.9,8580,9805,7971,936.14
13,13.01.2016,110.9,90.2,82.0,8.2,9405,10430,8480,767.79
14,14.01.2016,110.9,90.2,82.0,8.2,10127,11231,9131,826.82
15,15.01.2016,110.9,90.2,78.9,11.3,11806,13092,10644,1330.80
16,16.01.2016,110.9,90.2,78.9,11.3,7040,7807,6347,793.64
17,17.01.2016,108.7,88.3,77.9,10.4,7459,8106,6590,776.64
18,18.01.2016,107.9,87.7,77.9,9.8,8680,9366,7615,849.06
19,19.01.2016,107.9,87.7,77.9,9.8,8885,9586,7794,869.00
20,21.01.2016,107.9,87.7,77.9,9.8,21831,23555,19150,2135.39
21,22.01.2016,107.9,87.7,77.9,9.8,10478,11305,9191,1024.84
22,23.01.2016,107.9,87.7,77.9,9.8,7949,8576,6972,777.40
23,24.01.2016,107.9,87.7,78.7,9.0,7415,8000,6504,669.64
24,25.01.2016,107.9,87.7,75.6,12.1,9401,10143,8247,1141.40
25,26.01.2016,107.9,87.7,79.4,8.4,8862,9562,7774,740.14
26,27.01.2016,107.9,87.7,75.6,12.1,9060,9775,7947,1099.81
27,28.01.2016,107.9,87.7,75.6,12.1,10810,11664,9483,1312.54
28,29.01.2016,107.9,87.7,75.6,12.1,10266,11076,9005,1246.38
29,30.01.2016,107.9,87.7,75.6,12.1,8264,8917,7250,1003.44
30,31.01.2016,107.9,87.7,75.6,12.1,7567,8164,6638,918.64
31,01.02.2016,107.9,87.7,75.6,12.1,8564,9240,7512,1039.80
32,02.02.2016,107.9,87.7,75.6,12.1,8516,9188,7470,1033.96
