ID,Date,FuelType,UnitSP,UnitNet,UnitCP,UnitProfit,QtySold,ValSold,Net,Profit
1,01.01.2016,Unleaded,126.9,103.2,96.0,7.2,3829,4859,3950,275.41
2, 01.01.2016,Diesel,114.9,93.4,81.8,11.6,4840,5561,4521,562.48
3,02.01.2016,Unleaded,126.9,103.2,96.0,7.2,5291,6714,5458,380.58
4, 02.01.2016,Diesel,114.9,93.4,81.8,11.6,6951,7986,6493,807.79
5,03.01.2016,Unleaded,126.9,103.2,96.1,7.1,4968,6304,5125,351.88
6, 03.01.2016,Diesel,114.9,93.4,81.3,12.1,7073,8127,6607,854.57
7,04.01.2016,Unleaded,126.9,103.2,96.1,7.1,5753,7301,5936,407.54
8, 04.01.2016,Diesel,114.9,93.4,81.3,12.1,8915,10243,8328,1077.32
9,05.01.2016,Unleaded,126.9,103.2,97.2,5.9,5038,6394,5198,298.94
10, 05.01.2016,Diesel,114.9,93.4,81.3,12.1,9058,10408,8462,1094.47
11,06.01.2016,Unleaded,126.9,103.2,96.1,7.1,5518,7003,5694,390.90
12, 06.01.2016,Diesel,114.9,93.4,82.0,11.4,9028,10373,8433,1030.43
13,07.01.2016,Unleaded,126.9,103.2,96.1,7.1,6067,7699,6259,429.75
14, 07.01.2016,Diesel,114.9,93.4,82.0,11.4,9726,11175,9086,1109.95
15,08.01.2016,Unleaded,126.9,103.2,96.1,7.1,6818,8652,7034,482.89
16, 08.01.2016,Diesel,114.9,93.4,82.0,11.4,10358,11901,9676,1182.16
17,09.01.2016,Unleaded,126.9,103.2,96.1,7.1,5620,7132,5798,398.11
18, 09.011.2016,Diesel,114.9,93.4,82.0,11.4,8052,9252,7522,918.96
19,10.01.2016,Unleaded,126.9,103.2,96.1,7.1,5092,6462,5254,360.71
20, 10.01.2016,Diesel,114.9,93.4,82.0,11.4,7262,8344,6783,828.71
21,11.01.2016,Unleaded,126.9,103.2,96.1,7.1,4730,6002,4880,335.01
22, 11.01.2016,Diesel,114.9,93.4,82.0,11.4,9436,10842,8814,1076.86
23,12.01.2016,Unleaded,126.2,102.6,96.1,6.5,4110,5188,4218,268.38
24, 12.01.2016,Diesel,114.3,92.9,82.0,10.9,8580,9805,7971,936.14
25,13.01.2016,Unleaded,122.9,99.9,96.1,3.8,5559,6832,5554,212.89
26, 13.01.2016,Diesel,110.9,90.2,82.0,8.2,9405,10430,8480,767.79
27,14.01.2016,Unleaded,122.9,99.9,96.1,3.8,5494,6752,5490,210.40
28,14.01.2016,Diesel,110.9,90.2,82.0,8.2,10127,11231,9131,826.82
29,15.01.2016,Unleaded,122.9,99.9,94.1,5.8,5374,6605,5370,313.36
30, 15.01.2016,Diesel,110.9,90.2,78.9,11.3,11806,13092,10644,1330.80
31,16.01.2016,Unleaded,122.9,99.9,94.1,5.8,4750,5838,4746,276.94
32,16.01.2016,Diesel,110.9,90.2,78.9,11.3,7040,7807,6347,793.64
33,17.01.2016,Unleaded,122.2,99.4,93.2,6.2,4205,5141,4180,260.02
34,17.01.2016,Diesel,108.7,88.3,77.9,10.4,7459,8106,6590,776.64
35,18.01.2016,Unleaded,121.9,99.1,93.2,5.9,4155,5065,4118,244.85
36,18.01.2016,Diesel,107.9,87.7,77.9,9.8,8680,9366,7615,849.06
37,19.01.2016,Unleaded,121.9,99.1,93.2,5.9,3811,4646,3777,224.63
38, 19.01.2016,Diesel,107.9,87.7,77.9,9.8,8885,9586,7794,869.00
39,21.01.2016,Unleaded,120.1,97.6,93.2,4.4,10877,13062,10620,480.99
40, 21.01.2016,Diesel,107.9,87.7,77.9,9.8,21831,23555,19150,2135.39
41,22.01.2016,Unleaded,119.9,97.5,93.2,4.3,6380,7650,6219,272.56
42,22.01.2016,Diesel,107.9,87.7,77.9,9.8,10478,11305,9191,1024.84
43,23.01.2016,Unleaded,119.9,97.5,93.2,4.3,4642,5566,4525,198.31
44,23.01.2016,Diesel,107.9,87.7,77.9,9.8,7949,8576,6972,777.40
45,24.01.2016,Unleaded,119.9,97.5,96.0,1.5,4328,5190,4219,65.02
46,24.01.2016,Unleaded,107.9,87.7,78.7,9.0,7415,8000,6504,669.64
47,25.01.2016,Unleaded,119.9,97.5,93.2,4.3,4419,5299,4308,190.14
48,25.01.2016,Diesel,107.9,87.7,75.6,12.1,9401,10143,8247,1141.40
49,26.01.2016,Unleaded,119.9,97.5,90.1,7.4,4515,5414,4402,332.00
50,26.01.2016,Diesel,107.9,87.7,79.4,8.4,8862,9562,7774,740.14
51,27.01.2016,Unleaded,119.9,97.5,93.2,4.3,5353,6418,5218,230.31
52,27.01.2016,Diesel,107.9,87.7,75.6,12.1,9060,9775,7947,1099.81
53,28.01.2016,Unleaded,119.9,97.5,93.2,4.3,5505,6601,5367,236.87
54,28.01.2016,Diesel,107.9,87.7,75.6,12.1,10810,11664,9483,1312.54
55,29.01.2016,Unleaded,119.9,97.5,93.2,4.3,5797,6951,5651,249.43
56,29.01.2016,Diesel,107.9,87.7,75.6,12.1,10266,11076,9005,1246.38
57,30.01.2016,Unleaded,119.9,97.5,93.2,4.3,4959,5946,4835,213.40
58,30.01.2016,Diesel,107.9,87.7,75.6,12.1,8264,8917,7250,1003.44
59,31.01.2016,Unleaded,119.9,97.5,93.2,4.3,4766,5715,4646,205.08
60,31.01.2016,Diesel,107.9,87.7,75.6,12.1,7567,8164,6638,918.64
61,01.02.2016,Unleaded,119.9,97.5,93.2,4.3,4099,4915,3996,176.38
62,01.02.2016,Diesel,107.9,87.7,75.6,12.1,8564,9240,7512,1039.80
63,02.02.2016,Unleaded,119.9,97.5,93.2,4.3,5456,6542,5319,234.73
64,02.02.2016,Diesel,107.9,87.7,75.6,12.1,8516,9188,7470,1033.96
65,03.02.2016,Unleaded,119.9,97.5,94.2,3.3,4436,5320,4325,144.76
66,03.02.2016,Diesel,107.9,87.7,78.7,9.1,8889,9591,7798,804.62
67,04.02.2016,Unleaded,119.9,97.5,94.2,3.3,5535,6637,5396,180.63
68,04.02.2016,Diesel,107.9,87.7,78.7,9.1,9309,10045,8166,842.64
69,05.02.2016,Unleaded,119.9,97.5,94.2,3.3,6080,7291,5927,198.37
70,05.02.2016,Diesel,107.9,87.7,78.7,9.1,9042,9757,7932,818.40
71,06.02.2016,Unleaded,119.9,97.5,77.8,19.6,5381,6452,5246,1057.06
72,06.02.2016,Diesel,107.9,87.7,75.6,12.1,7520,8114,6597,913.00
73,07.02.2016,Unleaded,119.9,97.5,77.8,19.6,5321,6380,5187,1045.19
74,07.02.2016,Diesel,107.9,87.7,75.6,12.1,6682,7210,5862,811.28
75,08.02.2016,Unleaded,119.9,97.5,77.8,19.6,4798,5753,4677,942.42
76,08.02.2016,Diesel,107.9,87.7,75.6,12.1,7667,8273,6726,930.84
77,09.02.2016,Unleaded,119.9,97.5,92.4,5.1,4816,5774,4695,246.23
78,09.02.2016,Diesel,107.9,87.7,79.6,8.1,8493,9164,7450,686.30
79,10.02.2016,Unleaded,119.9,97.5,92.4,5.1,4881,5852,4758,249.53
80,10.02.2016,Diesel,107.9,87.7,79.6,8.1,8304,8959,7284,670.93
81,11.02.2016,Unleaded,119.9,97.5,92.4,5.1,5803,6958,5657,296.70
82,11.02.2016,Diesel,107.9,87.7,79.6,8.1,9529,10281,8359,769.99
83,12.02.2016,Unleaded,118.3,96.2,90.8,5.4,6723,7955,6467,363.44
84,12.02.2016,Diesel,107.2,87.2,78.7,8.5,9821,10532,8562,836.48
85,13.02.2016,Unleaded,115.9,94.2,90.8,3.4,6462,7490,6089,222.01
86,13.02.2016,Diesel,105.9,86.1,78.7,7.4,8344,8836,7184,619.75
87,14.02.2016,Unleaded,115.9,94.2,89.5,4.7,5826,6752,5489,273.55
88,14.02.2016,Diesel,105.9,86.1,75.6,10.5,7688,8142,6619,808.50
89,15.02.2016,Unleaded,115.9,94.2,89.5,4.7,5904,6842,5563,277.14
90,15.02.2016,Diesel,105.9,86.1,76.8,9.4,9419,9974,8109,880.27
91,16.02.2016,Unleaded,115.9,94.2,89.5,4.7,5451,6318,5136,255.87
92,16.02.2016,Diesel,105.9,86.1,76.8,9.4,8035,8509,6918,751.01
93,17.02.2016,Unleaded,115.9,94.2,89.5,4.7,6837,7923,6442,320.92
94,17.02.2016,Diesel,105.9,86.1,76.8,9.4,9932,10517,8551,928.25
95,18.02.2016,Unleaded,115.9,94.2,89.5,4.7,7551,8752,7115,354.62
96,18.02.2016,Diesel,105.9,86.1,76.8,9.4,10184,10785,8768,951.90
97,19.02.2016,Unleaded,115.9,94.2,89.5,4.7,6693,7757,6307,314.27
98,19.02.2016,Diesel,105.9,86.1,76.8,9.4,11444,12119,9853,1069.58
99,20.02.2016,Unleaded,115.9,94.2,89.5,4.7,6635,7689,6251,311.52
100,20.02.2016,Diesel,105.9,86.1,76.8,9.4,8980,9510,7731,839.3
101,21.02.2016,Unleaded,115.9,94.2,91.0,3.2,5947,6892,5603,188.82
102,21.02.2016,Diesel,105.9,86.1,76.8,9.4,6824,7227,5875,637.77
103,22.02.2016,Unleaded,115.9,94.2,91.0,3.2,5101,5912,4806,161.91
104,22.02.2016,Diesel,105.9,86.1,80.2,5.9,8078,8555,6955,477.90
105,23.02.2016,Unleaded,115.9,94.2,91.0,3.2,5690,6594,5361,180.68
106,23.02.2016,Diesel,105.9,86.1,80.2,5.9,9864,10446,8492,583.58
107,24.02.2016,Unleaded,115.9,94.2,91.0,3.2,6906,8004,6507,219.27
108,24.02.2016,Diesel,105.9,86.1,80.2,5.9,9218,9762,7937,545.50
109,25.02.2016,Unleaded,115.9,94.2,91.0,3.2,7145,8280,6732,226.86
110,25.02.2016,Diesel,105.9,86.1,80.2,5.9,10873,11515,9362,643.31
111,26.02.2016,Unleaded,115.9,94.2,91.0,3.2,8193,9496,7720,260.09
112,26.02.2016,Diesel,105.9,86.1,80.2,5.9,10786,11423,9287,638.29
113,27.02.2016,Unleaded,115.9,94.2,91.0,3.2,6519,7556,6143,206.98
114,27.02.2016,Diesel,105.9,86.1,80.2,5.9,9014,9546,7761,533.42
115,28.02.2016,Unleaded,115.9,94.2,91.0,3.2,6574,7619,6195,208.73
116,28.02.2016,Diesel,105.9,86.1,80.2,5.9,7994,8466,6883,472.97
117,29.02.2016,Unleaded,115.9,94.2,91.0,3.2,6006,6961,5659,190.59
118,29.02.2016,Diesel,105.9,86.1,80.2,5.9,8346,8838,7185,493.77
119,01.03.2016,Unleaded,115.9,94.2,90.1,4.1,5875,6809,5536,240.59
120,01.03.2016,Diesel,105.9,86.1,79.4,6.7,9349,9900,8049,628.93
121,02.03.2016,Unleaded,115.9,94.2,89.7,4.5,6568,7612,6189,297.17
122,02.03.2016,Diesel,105.9,86.1,79.5,6.6,9740,10314,8386,646.43
123,03.03.2016,Unleaded,115.9,94.2,90.1,4.1,7856,9105,7402,321.72
124,03.03.2016,Diesel,105.9,86.1,79.4,6.7,10847,11487,9339,729.73
125,04.03.2016,Unleaded,115.9,94.2,90.1,4.1,7480,8669,7048,306.33
126,04.03.2016,Diesel,105.9,86.1,79.4,6.7,10905,11548,9388,733.54
127,05.03.2016,Unleaded,115.9,94.2,90.1,4.1,7788,9026,7338,318.97
128,05.03.2016,Diesel,105.9,86.1,79.4,6.7,8976,9506,7728,603.77
129,06.03.2016,Unleaded,115.9,94.2,90.1,4.1,6614,7665,6232,270.83
130,06.03.2016,Diesel,105.9,86.1,79.4,6.7,7159,7581,6163,481.46
131,07.03.2016,Unleaded,115.9,94.2,90.1,4.1,6034,6993,5686,247.09
132,07.03.2016,Diesel,105.9,86.1,79.4,6.7,9118,9656,7850,613.38
133,08.03.2016,Unleaded,115.9,94.2,94.0,0.2,5519,6397,5200,11.82
134,08.03.2016,Diesel,105.9,86.1,79.1,7.0,9257,9803,7970,647.76
135,09.03.2016,Unleaded,115.9,94.2,94.0,0.2,7110,8240,6699,15.37
136,09.03.2016,Diesel,105.9,86.1,79.1,7.0,10168,10768,8754,711.41
137,10.03.2016,Unleaded,115.9,94.2,91.5,2.7,7586,8792,7148,205.18
138,10.03.2016,Diesel,105.9,86.1,81.6,4.5,9276,9823,7987,417.10
139,11.03.2016,Unleaded,117.2,95.3,91.5,3.8,8519,9983,8117,320.23
140,11.03.2016,Diesel,105.9,86.1,81.6,4.5,11505,12183,9905,517.31
141,12.03.2016,Unleaded,119.9,97.5,91.5,6.0,6752,8096,6582,402.62
