ID,Date,UnitSP,UnitNet,UnitCPUnit,Profit,QtySold,ValSold,(Net),Profit
1,01.01.2016,126.9,103.2,96.0,7.2,3829,4859,3950,275.41
2,02.01.2016,126.9,103.2,96.0,7.2,5291,6714,5458,380.58
3,03.01.2016,126.9,103.2,96.1,7.1,4968,6304,5125,351.88
4,04.01.2016,126.9,103.2,96.1,7.1,5753,7301,5936,407.54
5,05.01.2016,126.9,103.2,97.2,5.9,5038,6394,5198,298.94
6,06.01.2016,126.9,103.2,96.1,7.1,5518,7003,5694,390.90
7,07.01.2016,126.9,103.2,96.1,7.1,6067,7699,6259,429.75
8,08.01.2016,126.9,103.2,96.1,7.1,6818,8652,7034,482.89
9,09.01.2016,126.9,103.2,96.1,7.1,5620,7132,5798,398.11
10,10.01.2016,126.9,103.2,96.1,7.1,5092,6462,5254,360.71
11,11.01.2016,126.9,103.2,96.1,7.1,4730,6002,4880,335.01
12,12.01.2016,126.2,102.6,96.1,6.5,4110,5188,4218,268.38
13,13.01.2016,122.9,99.9,96.1,3.8,5559,6832,5554,212.89
14,14.01.2016,122.9,99.9,96.1,3.8,5494,6752,5490,210.40
15,15.01.2016,122.9,99.9,94.1,5.8,5374,6605,5370,313.36
16,16.01.2016,122.9,99.9,94.1,5.8,4750,5838,4746,276.94
17,17.01.2016,122.2,99.4,93.2,6.2,4205,5141,4180,260.02
18,18.01.2016,121.9,99.1,93.2,5.9,4155,5065,4118,244.85
19,19.01.2016,121.9,99.1,93.2,5.9,3811,4646,3777,224.63
20,21.01.2016,120.1,97.6,93.2,4.4,10877,13062,10620,480.99
21,22.01.2016,119.9,97.5,93.2,4.3,6380,7650,6219,272.56
22,23.01.2016,119.9,97.5,93.2,4.3,4642,5566,4525,198.31
23,24.01.2016,119.9,97.5,96.0,1.5,4328,5190,4219,65.02
24,25.01.2016,119.9,97.5,93.2,4.3,4419,5299,4308,190.14
25,26.01.2016,119.9,97.5,90.1,7.4,4515,5414,4402,332.00
26,27.01.2016,119.9,97.5,93.2,4.3,5353,6418,5218,230.31
27,28.01.2016,119.9,97.5,93.2,4.3,5505,6601,5367,236.87
28,29.01.2016,119.9,97.5,93.2,4.3,5797,6951,5651,249.43
29,30.01.2016,119.9,97.5,93.2,4.3,4959,5946,4835,213.40
30,31.01.2016,119.9,97.5,93.2,4.3,4766,5715,4646,205.08
31,01.02.2016,119.9,97.5,93.2,4.3,4099,4915,3996,176.38
32,02.02.2016,119.9,97.5,93.2,4.3,5456,6542,5319,234.73
33,03.02.2016,119.9,97.5,94.2,3.3,4436,5320,4325,144.76
34,04.02.2016,119.9,97.5,94.2,3.3,5535,6637,5396,180.63
35,05.02.2016,119.9,97.5,94.2,3.3,6080,7291,5927,198.37
36,06.02.2016,119.9,97.5,77.8,19.6,5381,6452,5246,1057.06
37,07.02.2016,119.9,97.5,77.8,19.6,5321,6380,5187,1045.19
38,08.02.2016,119.9,97.5,77.8,19.6,4798,5753,4677,942.42
39,09.02.2016,119.9,97.5,92.4,5.1,4816,5774,4695,246.23
40,10.02.2016,119.9,97.5,92.4,5.1,4881,5852,4758,249.53
41,11.02.2016,119.9,97.5,92.4,5.1,5803,6958,5657,296.70
42,12.02.2016,118.3,96.2,90.8,5.4,6723,7955,6467,363.44
43,13.02.2016,115.9,94.2,90.8,3.4,6462,7490,6089,222.01
44,14.02.2016,115.9,94.2,89.5,4.7,5826,6752,5489,273.55
45,15.02.2016,115.9,94.2,89.5,4.7,5904,6842,5563,277.14
46,16.02.2016,115.9,94.2,89.5,4.7,5451,6318,5136,255.87
47,17.02.2016,115.9,94.2,89.5,4.7,6837,7923,6442,320.92
48,18.02.2016,115.9,94.2,89.5,4.7,7551,8752,7115,354.62
49,19.02.2016,115.9,94.2,89.5,4.7,6693,7757,6307,314.27
50,20.02.2016,115.9,94.2,89.5,4.7,6635,7689,6251,311.52
51,21.02.2016,115.9,94.2,91.0,3.2,5947,6892,5603,188.82
52,22.02.2016,115.9,94.2,91.0,3.2,5101,5912,4806,161.91
53,23.02.2016,115.9,94.2,91.0,3.2,5690,6594,5361,180.68
54,24.02.2016,115.9,94.2,91.0,3.2,6906,8004,6507,219.27
55,25.02.2016,115.9,94.2,91.0,3.2,7145,8280,6732,226.86
56,26.02.2016,115.9,94.2,91.0,3.2,8193,9496,7720,260.09
57,27.02.2016,115.9,94.2,91.0,3.2,6519,7556,6143,206.98
58,28.02.2016,115.9,94.2,91.0,3.2,6574,7619,6195,208.73
59,29.02.2016,115.9,94.2,91.0,3.2,6006,6961,5659,190.59
60,01.03.2016,115.9,94.2,90.1,4.1,5875,6809,5536,240.59
61,02.03.2016,115.9,94.2,89.7,4.5,6568,7612,6189,297.17
62,03.03.2016,115.9,94.2,90.1,4.1,7856,9105,7402,321.72
63,04.03.2016,115.9,94.2,90.1,4.1,7480,8669,7048,306.33
64,05.03.2016,115.9,94.2,90.1,4.1,7788,9026,7338,318.97
65,06.03.2016,115.9,94.2,90.1,4.1,6614,7665,6232,270.83
66,07.03.2016,115.9,94.2,90.1,4.1,6034,6993,5686,247.09
67,08.03.2016,115.9,94.2,94.0,0.2,5519,6397,5200,11.82
68,09.03.2016,115.9,94.2,94.0,0.2,7110,8240,6699,15.37
69,10.03.2016,115.9,94.2,91.5,2.7,7586,8792,7148,205.18
70,11.03.2016,117.2,95.3,91.5,3.8,8519,9983,8117,320.23
71,12.03.2016,119.9,97.5,91.5,6.0,6752,8096,6582,402.62
72,13.03.2016,119.9,97.5,91.5,6.0,6108,7323,5954,364.17
73,14.03.2016,119.9,97.5,93.4,4.1,5483,6574,5345,225.46
74,15.03.2016,119.9,97.5,93.4,4.1,5381,6452,5245,221.29
75,16.03.2016,119.9,97.5,93.4,4.1,6449,7733,6287,265.24
76,17.03.2016,119.9,97.5,95.2,2.3,4790,5743,4669,108.85
77,18.03.2016,119.9,97.5,95.2,2.3,7574,9081,7383,172.13
78,19.03.2016,119.9,97.5,91.5,6.0,7325,8783,7141,436.78
79,20.03.2016,119.9,97.5,91.5,6.0,6471,7759,6308,385.81
80,21.03.2016,120.6,98.0,94.5,3.6,6055,7301,5936,215.30
81,22.03.2016,121.9,99.1,95.1,4.0,5572,6792,5522,220.84
82,23.03.2016,121.9,99.1,93.7,5.4,5738,6995,5687,309.53
83,24.03.2016,121.9,99.1,93.7,5.4,6562,7999,6503,353.92
84,25.03.2016,121.9,99.1,93.7,5.4,7174,8745,7109,386.91
85,26.03.2016,121.9,99.1,93.7,5.4,6329,7715,6272,341.33
86,27.03.2016,121.9,99.1,97.5,1.6,3440,4193,3409,56.79
87,28.03.2016,121.9,99.1,97.5,1.6,5392,6573,5344,89.19
88,29.03.2016,123.8,100.6,97.5,3.2,4926,6098,4957,157.07
89,30.03.2016,125.9,102.4,97.5,4.9,5107,6429,5227,250.42
90,31.03.2016,125.9,102.4,97.5,4.9,6205,7812,6351,304.27
91,01.04.2016,125.9,102.4,98.4,3.9,5329,6709,5454,210.17
